"lat","lon","elevation_m","ruggedness_std_m","ruggedness_range_m"
"50.75","5.75","91","36.4","107"
"50.25","6.25","531","21.1","58"
"50.25","6.75","544","44.1","130"
"50.75","6.25","244","63.6","172"
"50.75","6.75","136","18.5","56"
"50.25","7.25","387","42.6","100"
"50.25","7.75","328","57.1","163"
"50.75","7.25","135","40.9","126"
"50.75","7.75","309","50.4","134"
"50.25","8.25","252","73.8","207"
"50.25","8.75","116","27.2","73"
"50.75","8.25","273","36.6","103"
"50.75","8.75","238","27.8","75"
"50.25","9.25","422","95.6","281"
"50.25","9.75","443","47.2","130"
"50.75","9.25","295","34.8","102"
"50.75","9.75","359","89.5","272"
"50.25","10.25","314","31.2","79"
"50.25","10.75","311","19.5","54"
"50.75","10.25","543","100.4","287"
"50.75","10.75","717","148","360"
"50.25","11.25","317","42.5","125"
"50.25","11.75","565","29.6","79"
"50.75","11.25","392","63.2","197"
"50.75","11.75","320","39.5","108"
"50.5","12.5","708","46.7","123"
"50.5","13.5","288","59.8","181"
"50.5","14.5","363","63.5","181"
"50.5","15.5","435","25.5","75"
"50.5","16.5","381","33.1","102"
"50.5","17.5","187","19.4","54"
"51.25","-0.75","88","19.8","56"
"51.25","-0.25","78","50.2","144"
"51.75","-0.75","181","54.5","149"
"51.75","-0.25","77","16.7","52"
"51.5","0.5","0","1.7","4"
"51.25","1.25","35","29.5","86"
"51.25","1.75","0","0","0"
"51.75","1.25","0","0","0"
"51.75","1.75","0","0","0"
"51.25","2.25","0","0","0"
"51.25","2.75","0","0","0"
"51.75","2.25","0","0","0"
"51.75","2.75","0","0","0"
"51.25","3.25","0","3.1","8"
"51.25","3.75","0","1.4","4"
"51.75","3.25","0","0","0"
"51.75","3.75","0","0","0"
"51.25","4.25","8","3.7","11"
"51.25","4.75","32","7.2","20"
"51.75","4.25","0","0.4","1"
"51.75","4.75","0","1.9","5"
"51.5","5.5","14","2.8","8"
"51.25","6.25","55","10.3","28"
"51.25","6.75","25","5.5","16"
"51.75","6.25","17","10.8","27"
"51.75","6.75","45","5.8","15"
"51.25","7.25","277","44","127"
"51.25","7.75","179","89.2","254"
"51.75","7.25","67","15.5","45"
"51.75","7.75","73","8.1","24"
"51.25","8.25","493","62.7","190"
"51.25","8.75","432","51.9","149"
"51.75","8.25","99","12.4","34"
"51.75","8.75","113","24.2","72"
"51.25","9.25","308","37.2","98"
"51.25","9.75","513","51.9","148"
"51.75","9.25","330","68","187"
"51.75","9.75","329","82.7","237"
"51.25","10.25","400","62.6","172"
"51.25","10.75","268","21.6","63"
"51.75","10.25","260","125.2","301"
"51.75","10.75","469","26.6","80"
"51.5","11.5","268","56.3","159"
"51.5","12.5","100","17.5","46"
"51.5","13.5","119","16.5","50"
"51.5","14.5","121","9.7","26"
"51.5","15.5","142","11.1","30"
"51.5","16.5","87","17.4","48"
"51.5","17.5","115","8.2","21"
"52.5","-0.5","36","16.8","50"
"52.5","0.5","2","5.1","15"
"52.25","1.25","60","11.8","32"
"52.25","1.75","0","0","0"
"52.75","1.25","25","14.3","42"
"52.75","1.75","0","0","0"
"52.25","2.25","0","0","0"
"52.25","2.75","0","0","0"
"52.75","2.25","0","0","0"
"52.75","2.75","0","0","0"
"52.25","3.25","0","0","0"
"52.25","3.75","0","0","0"
"52.75","3.25","0","0","0"
"52.75","3.75","0","0","0"
"52.25","4.25","0","0","0"
"52.25","4.75","-2","1.4","4"
"52.75","4.25","0","0","0"
"52.75","4.75","-1","1","3"
"52.25","5.25","9","8.5","21"
"52.25","5.75","26","15.6","45"
"52.75","5.25","-1","0.6","2"
"52.75","5.75","-4","1.4","4"
"52.25","6.25","8","2.2","6"
"52.25","6.75","16","5.3","15"
"52.75","6.25","1","5.6","15"
"52.75","6.75","14","1.4","4"
"52.25","7.25","45","4.2","9"
"52.25","7.75","68","37","95"
"52.75","7.25","10","10.7","29"
"52.75","7.75","37","5.2","13"
"52.5","8.5","38","2.3","6"
"52.5","9.5","41","6.7","21"
"52.5","10.5","59","4","11"
"52.5","11.5","75","7.4","21"
"52.5","12.5","31","7.5","20"
"52.5","13.5","45","10.5","32"
"52.5","14.5","9","18.8","48"
"52.5","15.5","63","5.2","12"
"52.5","16.5","89","18.2","50"
"52.5","17.5","120","2.6","7"
"51.0122416597396","8.67359068093063","328","57.8","157"
"50.0883710111786","4.35250285594612","209","18.5","45"
"47.9415701869002","12.7193851529998","521","70.9","182"
"51.9683323603687","2.56166876119342","0","0","0"
"50.363364038629","0.783561626504864","0","0","0"
"50.1037064559235","13.032287048585","602","45.1","132"
"47.5008399269798","7.0983176064658","457","40.3","112"
"47.7602658207691","8.92074614304763","416","20.6","59"
"47.5221502013126","16.7587514851428","225","33","95"
"48.87036496554","15.3113317271663","480","33.7","97"
"52.1206214934626","14.6092956538437","83","45.2","130"
"48.8513948815175","17.3971112463184","343","121.8","334"
"50.4990434161687","16.4468403120299","379","93.3","242"
"47.0141632597325","11.6893804361532","2318","205.7","588"
"48.15453480866","17.0094330204643","134","65","185"
"47.7865222995564","17.797860952524","110","0.7","2"
"48.3249933275126","7.7401992859628","164","3.7","10"
"50.5321655273438","17.6236604389391","202","7.8","21"
