lat,lon,elevation_m,ruggedness_std_m,ruggedness_range_m
45.6486486486486,-4.92300024620848,0,0,0
45.6486486486486,-1.28165874530615,0,0,0
45.6486486486486,2.35968275559618,799,38.1798376109695,102
45.6486486486486,6.0010242564985,1322,398.234604222185,1104
45.6486486486486,9.64236575740083,205,39.6648458965871,110
45.6486486486486,13.2837072583032,0,0,0
45.6486486486486,16.9250487592055,144,10.5023806824929,24
47.6756756756757,-3.10232949575731,33,12.9151074327704,30
47.6756756756757,0.539012005145013,131,18.2290976189168,48
47.6756756756757,4.18035350604734,284,47.641368578159,117
47.6756756756757,7.82169500694967,604,154.900613297688,413
47.6756756756757,11.463036507852,1052,137.581612143484,341
47.6756756756757,15.1043780087543,1297,211.159892024977,563
47.6756756756757,18.7457195096566,238,58.9516751246307,143
49.7027027027027,-4.92300024620848,0,0,0
49.7027027027027,-1.28165874530615,0,8.94427190999916,20
49.7027027027027,2.35968275559618,78,26.2526189169766,69
49.7027027027027,6.0010242564985,348,48.9520173230889,109
49.7027027027027,9.64236575740083,329,63.5688603012513,159
49.7027027027027,13.2837072583032,329,14.7885090526395,39
49.7027027027027,16.9250487592055,411,111.496636720576,277
51.7297297297297,-3.10232949575731,399,65.1705454941111,132
51.7297297297297,0.539012005145013,20,31.1094840844396,76
51.7297297297297,4.18035350604734,0,0,0
51.7297297297297,7.82169500694967,88,10.5023806824929,22
51.7297297297297,11.463036507852,171,37.2424488990721,100
51.7297297297297,15.1043780087543,121,22.5211012164148,58
51.7297297297297,18.7457195096566,134,12.837445228705,36
53.7567567567568,-4.92300024620848,0,0,0
53.7567567567568,-1.28165874530615,50,15.4012986465428,34
53.7567567567568,2.35968275559618,0,0,0
53.7567567567568,6.0010242564985,0,0,0
53.7567567567568,9.64236575740083,4,4.77493455452533,12
53.7567567567568,13.2837072583032,46,19.5140974682407,46
53.7567567567568,16.9250487592055,164,9.555103348473,25
51.48,-0.45,26,14.4048602908879,39
48.72,2.38,86,29.4448637286709,60
50.03,8.57,104,9.28439551074813,23
48.35,11.79,448,7.30068489937759,19
48.11,16.57,182,8.90505474435727,19
50.9,4.48,37,18.6895692834265,50
52.31,4.77,-5,4.54972526643093,9
49.01,2.55,106,20.4987804515293,50
51.148,-0.19,59,19.3984535466104,46
